2025-10-01T17:37:38.818975,moto-01,MANUTENCAO,2025-10-01T20:36:25Z
2025-10-01T17:37:50.506467,moto-01,PENDENTE,2025-10-01T20:38:48Z
2025-10-01T17:37:53.208451,moto-01,PRONTA,2025-10-01T20:38:50Z
2025-10-01T17:37:53.737787,moto-01,MANUTENCAO,2025-10-01T20:38:51Z
2025-10-01T17:37:54.328990,moto-01,PRONTA,2025-10-01T20:38:52Z
2025-10-01T17:37:56.784563,moto-01,PENDENTE,2025-10-01T20:38:54Z
2025-10-01T17:37:58.293641,moto-01,MANUTENCAO,2025-10-01T20:38:56Z
2025-10-01T17:38:08.080283,moto-02,MANUTENCAO,2025-10-01T20:38:07Z
2025-10-01T17:38:08.080790,moto-03,PRONTA,2025-10-01T20:38:07Z
2025-10-01T17:38:10.884161,moto-02,PRONTA,2025-10-01T20:38:10Z
2025-10-01T17:38:11.082824,moto-03,PRONTA,2025-10-01T20:38:10Z
2025-10-01T17:38:13.883407,moto-02,MANUTENCAO,2025-10-01T20:38:13Z
2025-10-01T17:38:14.081866,moto-03,MANUTENCAO,2025-10-01T20:38:13Z
2025-10-01T17:38:16.883635,moto-02,PRONTA,2025-10-01T20:38:16Z
2025-10-01T17:38:17.080658,moto-03,PENDENTE,2025-10-01T20:38:16Z
2025-10-01T17:38:19.884053,moto-02,MANUTENCAO,2025-10-01T20:38:19Z
2025-10-01T17:38:20.079203,moto-03,MANUTENCAO,2025-10-01T20:38:19Z
2025-10-01T17:38:22.885504,moto-02,PRONTA,2025-10-01T20:38:22Z
2025-10-01T17:38:23.081615,moto-03,PRONTA,2025-10-01T20:38:22Z
2025-10-01T17:38:25.887028,moto-02,MANUTENCAO,2025-10-01T20:38:25Z
2025-10-01T17:38:26.084667,moto-03,PRONTA,2025-10-01T20:38:25Z
2025-10-01T17:38:28.886673,moto-02,PRONTA,2025-10-01T20:38:28Z
2025-10-01T17:38:29.084462,moto-03,PRONTA,2025-10-01T20:38:28Z
2025-10-01T17:38:31.888191,moto-02,PENDENTE,2025-10-01T20:38:31Z
2025-10-01T17:38:32.085740,moto-03,PENDENTE,2025-10-01T20:38:31Z
2025-10-01T17:38:40.035706,moto-02,MANUTENCAO,2025-10-01T20:38:39Z
2025-10-01T17:38:40.036710,moto-03,MANUTENCAO,2025-10-01T20:38:39Z
2025-10-01T17:38:42.838991,moto-02,MANUTENCAO,2025-10-01T20:38:42Z
2025-10-01T17:38:43.039047,moto-03,PENDENTE,2025-10-01T20:38:42Z
2025-10-01T17:38:45.839068,moto-02,PRONTA,2025-10-01T20:38:45Z
2025-10-01T17:38:46.039471,moto-03,PRONTA,2025-10-01T20:38:45Z
2025-10-01T17:38:48.839412,moto-02,PENDENTE,2025-10-01T20:38:48Z
2025-10-01T17:38:49.041606,moto-03,PENDENTE,2025-10-01T20:38:48Z
2025-10-01T17:38:51.041234,moto-02,MANUTENCAO,2025-10-01T20:38:50Z
2025-10-01T17:38:51.041735,moto-03,PENDENTE,2025-10-01T20:38:50Z
2025-10-01T17:38:51.840337,moto-02,PENDENTE,2025-10-01T20:38:51Z
2025-10-01T17:38:52.042954,moto-03,PENDENTE,2025-10-01T20:38:51Z
2025-10-01T17:38:53.842930,moto-02,PENDENTE,2025-10-01T20:38:53Z
2025-10-01T17:38:54.041096,moto-03,PENDENTE,2025-10-01T20:38:53Z
2025-10-01T17:38:54.840346,moto-02,PENDENTE,2025-10-01T20:38:54Z
2025-10-01T17:38:55.043625,moto-03,PENDENTE,2025-10-01T20:38:54Z
2025-10-01T17:38:56.846647,moto-02,PRONTA,2025-10-01T20:38:56Z
2025-10-01T17:38:57.043727,moto-03,PRONTA,2025-10-01T20:38:56Z
2025-10-01T17:38:57.843796,moto-02,PENDENTE,2025-10-01T20:38:57Z
2025-10-01T17:38:58.043994,moto-03,MANUTENCAO,2025-10-01T20:38:57Z
2025-10-01T17:38:59.843891,moto-02,MANUTENCAO,2025-10-01T20:38:59Z
2025-10-01T17:39:00.041911,moto-03,PENDENTE,2025-10-01T20:38:59Z
2025-10-01T17:39:00.843373,moto-02,MANUTENCAO,2025-10-01T20:39:00Z
2025-10-01T17:39:01.046364,moto-03,MANUTENCAO,2025-10-01T20:39:00Z
2025-10-01T17:39:02.846853,moto-02,PENDENTE,2025-10-01T20:39:02Z
2025-10-01T17:39:03.043979,moto-03,MANUTENCAO,2025-10-01T20:39:02Z
